first_name,last_name,full_name,email,phone,gender,age,job_title,years_of_experience,salary,department,email_valid,phone_clean,phone_valid,phone_error
Jose,Lopez,Jose Lopez,joselopez0944@slingacademy.com,+1-971-533-4552x1542,male,25,Project Manager,1,8500,Product,True,+19715334552,True,
Diane,Carter,Diane Carter,dianecarter1228@slingacademy.com,881.633.0107,female,26,Machine Learning Engineer,2,7000,Product,True,+18816330107,True,
Shawn,Foster,Shawn Foster,shawnfoster2695@slingacademy.com,001-966-861-0065x493,male,37,Project Manager,14,17000,Product,True,,False,invalid_length
Brenda,Fisher,Brenda Fisher,brendafisher3185@slingacademy.com,001-574-564-4648,female,31,Web Developer,8,10000,Product,True,,False,invalid_length
Sean,Hunter,Sean Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,True,+15838355842,True,
Joshua,Jacobs,Joshua Jacobs,joshuajacobs5904@slingacademy.com,053-913-2609,male,28,Project Manager,3,10500,Product,True,+10539132609,True,
Brianna,Marshall,Brianna Marshall,briannamarshall6438@slingacademy.com,701-932-8553,female,33,Machine Learning Engineer,10,11000,Product,True,+17019328553,True,
John,Tate,John Tate,johntate7881@slingacademy.com,001-889-992-5260x62725,male,33,Mobile Developer,10,11000,Product,True,,False,invalid_length
Jillian,Byrd,Jillian Byrd,jillianbyrd8170@slingacademy.com,077-635-0084x1647,female,34,Web Developer,10,11000,Product,True,+10776350084,True,
Melanie,Sharp,Melanie Sharp,melaniesharp9256@slingacademy.com,(848)212-0230,female,41,Web Developer,15,14500,Product,True,+18482120230,True,
Brandy,Mckee,Brandy Mckee,brandymckee10500@slingacademy.com,001-085-315-6112x464,female,37,Web Developer,14,14000,Product,True,,False,invalid_length
Robert,Simpson,Robert Simpson,robertsimpson11778@slingacademy.com,496-469-5331x659,male,36,DevOps Engineer,12,15000,Product,True,+14964695331,True,
George,Mckenzie,George Mckenzie,georgemckenzie12384@slingacademy.com,(843)416-2489,male,28,Machine Learning Engineer,4,10000,Product,True,+18434162489,True,
Joseph,Smith,Joseph Smith,josephsmith13724@slingacademy.com,+1-380-230-4166,male,40,Machine Learning Engineer,14,14000,Product,True,+13802304166,True,
Dana,Crawford,Dana Crawford,danacrawford14310@slingacademy.com,(848)716-0019x0240,female,32,Project Manager,8,12000,Product,True,+18487160019,True,
Christopher,Benson,Christopher Benson,christopherbenson15937@slingacademy.com,+1-368-801-2914x8616,male,29,Web Developer,5,7500,Product,True,+13688012914,True,
Nicole,Smith,Nicole Smith,nicolesmith16360@slingacademy.com,289.372.5080x2156,female,26,Designer,4,10000,Product,True,+12893725080,True,
Peter,Jimenez,Peter Jimenez,peterjimenez17791@slingacademy.com,001-535-827-3787x317,male,28,Mobile Developer,3,6500,Product,True,,False,invalid_length
Sergio,Boyle,Sergio Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,True,+13027626274,True,
Brianna,Moss,Brianna Moss,briannamoss19517@slingacademy.com,+1-529-287-4857x163,female,31,Designer,5,10500,Product,True,+15292874857,True,
Taylor,Garner,Taylor Garner,taylorgarner20196@slingacademy.com,931-244-1612x38767,female,32,Machine Learning Engineer,6,11000,Product,True,+19312441612,True,
Michael,Padilla,Michael Padilla,michaelpadilla21381@slingacademy.com,(787)446-1738,male,29,Tester,5,9500,Product,True,+17874461738,True,
Yvette,Walker,Yvette Walker,yvettewalker22744@slingacademy.com,154-489-0248,female,26,Designer,2,7000,Product,True,+11544890248,True,
Kristina,Pena,Kristina Pena,kristinapena23750@slingacademy.com,+1-099-174-5458x294,female,34,DevOps Engineer,11,12500,Product,True,+10991745458,True,
Vanessa,Reynolds,Vanessa Reynolds,vanessareynolds24710@slingacademy.com,+1-357-911-9617x44729,female,36,Machine Learning Engineer,10,13000,Product,True,+13579119617,True,
Robert,Suarez,Robert Suarez,robertsuarez25924@slingacademy.com,+1-121-053-2698x314,male,33,Tester,9,9500,Product,True,+11210532698,True,
Tammy,Ellis,Tammy Ellis,tammyellis26570@slingacademy.com,029.476.5817x88014,female,37,HR Manager,14,14000,Human Resource,True,+10294765817,True,
Rodney,Porter,Rodney Porter,rodneyporter27496@slingacademy.com,+1-508-187-4826,male,28,DevOps Engineer,3,9500,Product,True,+15081874826,True,
David,Reyes,David Reyes,davidreyes28592@slingacademy.com,(725)355-0896x3876,male,25,Designer,2,7000,Product,True,+17253550896,True,
Brian,Kirby,Brian Kirby,briankirby29574@slingacademy.com,458.110.0220x9710,male,31,Machine Learning Engineer,8,10000,Product,True,+14581100220,True,
Tammy,Walker,Tammy Walker,tammywalker30386@slingacademy.com,+1-810-034-9706x602,female,31,Web Developer,7,8500,Product,True,+18100349706,True,
